127.0.0.1 - - [26/Feb/2025:09:44:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:44:59 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:44:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:46:01 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:49:47 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:50:21 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:51:23 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:53:59 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:54:35 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [26/Feb/2025:09:58:00 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:00:11 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:01:17 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:02:11 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:06:12 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:06:45 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:12:54 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:14:47 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:21:33 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 500 2805
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:23:32 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:33:28 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:34:28 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:38:42 +0530] "GET /JspDemo/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:39:17 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Feb/2025:10:39:32 +0530] "GET /JspDemo/NewFile.jsp HTTP/1.1" 200 208
