127.0.0.1 - - [01/Mar/2025:11:59:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Mar/2025:11:59:58 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [01/Mar/2025:11:59:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:00:31 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:00:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:02:29 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 500 2155
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:04:17 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:04:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:06:49 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:06:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:07:24 +0530] "GET /JspDemo/request.jsp?param=%22Hello%22&%20param2=%22Gaurav%22 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:07:46 +0530] "GET /JspDemo/request.jsp?param=%22Hello%22 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:10:53 +0530] "POST /JspDemo/request.jsp?param=%22Hello%22 HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:12:35 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:12:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Mar/2025:12:12:58 +0530] "GET /JspDemo/request.jsp HTTP/1.1" 200 146
